battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,price_range
842,0,2.2,0,1,0,7,0.6,2,2,2549,19,0,0,1,1
1021,1,0.5,1,0,1,53,0.7,3,6,2631,7,1,1,0,2
563,1,0.5,1,2,1,41,0.9,5,6,2603,9,1,1,0,2
615,1,2.5,0,0,0,10,0.8,6,9,2769,11,1,0,0,2
1821,1,1.2,0,13,1,44,0.6,2,14,1411,15,1,1,0,1
1859,0,0.5,1,3,0,22,0.7,1,7,1067,10,1,0,0,1
1821,0,1.7,0,4,1,10,0.8,8,10,3220,18,1,0,1,3
1954,0,0.5,1,0,0,24,0.8,4,0,700,5,1,1,1,0
1445,1,0.5,0,0,0,53,0.7,7,14,1099,20,1,0,0,0
509,1,0.6,1,2,1,9,0.1,5,15,513,12,1,0,0,0
769,1,2.9,1,0,0,9,0.1,5,1,3946,7,0,0,0,3
1520,1,2.2,0,5,1,33,0.5,8,18,3826,13,1,1,1,3
1815,0,2.8,0,2,0,33,0.6,4,17,1482,2,1,0,0,1
803,1,2.1,0,7,0,17,1.0,4,11,2680,4,1,0,1,2
1866,0,0.5,0,13,1,52,0.7,1,17,373,3,1,0,1,0
775,0,1.0,0,3,0,46,0.7,2,16,568,11,1,1,1,0
838,0,0.5,0,1,1,13,0.1,8,4,3554,19,1,0,1,3
595,0,0.9,1,7,1,23,0.1,3,17,3752,18,1,1,0,3
1131,1,0.5,1,11,0,49,0.6,5,18,1835,16,1,1,0,1
682,1,0.5,0,4,0,19,1.0,4,11,2337,18,0,1,1,1
772,0,1.1,1,12,0,39,0.8,7,14,2819,3,1,1,0,3
1709,1,2.1,0,1,0,13,1.0,2,2,3283,15,1,0,0,3
1949,0,2.6,1,4,0,47,0.3,4,7,1433,20,0,0,1,1
1602,1,2.8,1,4,1,38,0.7,3,20,1037,20,1,0,0,0
503,0,1.2,1,5,1,8,0.4,3,13,2583,12,1,0,0,1
961,1,1.4,1,0,1,57,0.6,8,3,2782,7,1,1,1,2
519,1,1.6,1,7,1,51,0.3,4,19,3763,4,1,0,1,3
956,0,0.5,0,1,1,41,1.0,7,6,3286,12,1,1,0,3
1453,0,1.6,1,12,1,52,0.3,2,18,2373,10,1,1,1,2
851,0,0.5,0,3,0,21,0.4,5,7,478,10,1,0,1,0
1579,1,0.5,1,0,0,5,0.2,7,9,3532,12,0,0,1,3
1568,1,0.5,0,16,0,33,1.0,8,20,508,6,1,1,1,0
1319,1,0.9,0,3,1,41,0.9,1,18,2227,3,1,1,1,1
1310,1,2.2,1,0,1,51,0.6,4,0,3845,12,1,1,0,3
644,1,2.7,0,0,0,22,0.7,8,3,1262,15,1,0,0,0
725,0,1.3,1,16,0,60,0.4,8,17,1326,15,1,0,0,1
589,1,2.3,1,1,0,61,0.6,4,10,2113,2,1,0,1,1
1725,1,1.6,1,6,1,6,0.5,2,18,3429,4,1,1,0,3
790,0,2.0,1,16,1,11,0.3,6,17,3169,2,1,0,1,2
560,0,0.5,1,15,0,50,0.3,2,20,2150,11,1,1,0,2
1347,0,2.9,0,5,0,44,0.6,1,14,2484,11,1,0,1,2
1646,1,2.3,0,8,1,41,0.2,2,10,3339,19,1,1,0,3
1253,1,0.5,1,5,1,5,0.2,2,19,1878,4,1,1,0,1
1656,0,1.0,0,5,1,34,0.1,3,7,1629,14,1,1,0,1
1195,1,2.8,0,1,1,20,0.8,2,14,504,12,1,1,0,0
1514,0,2.9,0,0,0,27,0.2,3,1,1152,20,0,1,1,1
1723,1,1.1,1,1,0,42,1.0,8,14,3587,3,1,0,0,3
1054,1,1.8,1,3,1,40,0.8,7,10,2296,12,1,0,1,1
578,1,2.6,1,2,1,57,0.2,8,8,1270,5,1,0,1,0
596,0,2.1,1,9,0,64,0.8,8,15,3238,10,0,0,0,3
1547,1,3.0,1,2,1,14,0.7,3,19,2059,15,1,0,1,2
1760,0,1.4,1,5,0,63,0.8,8,19,2053,16,0,1,0,2
1654,1,1.5,1,0,1,43,0.3,2,0,3112,10,1,1,0,3
1457,0,1.9,1,1,1,16,0.3,3,10,1440,12,1,0,1,1
1073,1,0.5,1,0,0,51,0.5,7,0,2908,18,0,1,0,2
1936,0,2.1,1,10,1,46,0.6,3,20,2552,13,1,0,0,2
823,1,2.7,1,13,0,60,0.5,8,19,905,17,1,1,1,0
987,0,1.3,1,0,1,61,0.4,3,9,3963,20,1,0,1,3
1757,0,0.5,0,8,0,49,0.5,6,14,2056,4,0,0,0,1
1063,0,1.4,1,2,1,48,1.0,5,4,2910,9,1,1,1,2
1484,0,3.0,0,3,0,12,0.6,3,5,1457,20,1,1,0,1
799,1,2.3,0,1,1,63,0.8,8,6,431,6,1,1,1,0
1156,1,1.2,1,0,1,50,0.8,2,0,470,15,1,1,0,0
1720,0,2.0,0,15,1,55,0.5,2,18,2148,5,1,1,1,2
702,0,2.6,1,2,1,9,0.7,3,3,2955,19,1,0,0,2
616,0,1.9,1,13,1,44,0.8,3,17,3366,13,1,1,0,3
1358,1,0.5,0,11,1,36,0.3,4,14,3068,4,1,1,0,3
1866,0,1.4,0,0,0,30,0.5,3,0,3834,8,0,0,0,3
1242,0,1.1,1,0,0,10,0.6,2,1,1050,4,1,0,1,0
1166,0,1.5,1,0,1,43,0.8,4,1,3993,7,1,1,0,3
1448,1,0.5,1,6,1,45,0.8,7,11,3378,2,1,1,1,3
1407,1,2.4,0,1,1,22,0.7,4,4,2192,13,1,0,1,2
605,0,1.0,0,8,1,9,0.1,3,16,392,4,1,0,0,0
1038,0,1.2,0,3,0,43,0.7,1,5,3709,12,1,1,1,3
797,1,2.9,1,4,0,38,0.5,4,6,590,6,0,1,0,0
819,0,0.6,1,8,1,42,0.9,6,20,1814,13,1,0,1,1
1114,0,2.8,0,4,1,9,0.4,3,15,907,17,1,1,0,0
1234,1,1.6,1,1,0,33,0.6,1,3,1449,6,0,0,1,0
1199,1,2.5,1,15,1,16,0.2,4,20,3448,10,1,0,1,3
1103,0,1.0,1,6,0,29,0.7,6,8,1837,16,0,1,1,1
1589,1,0.6,1,0,1,58,0.9,7,7,3464,6,1,1,1,3
999,0,2.9,1,11,1,64,0.2,4,19,2593,16,1,1,0,2
1510,1,0.9,1,2,0,45,0.9,5,3,3484,11,0,1,1,3
1008,0,0.8,0,11,0,61,1.0,3,15,2009,11,1,0,0,1
1127,1,2.9,1,5,1,57,0.8,1,13,2048,17,1,1,1,1
1412,1,2.4,0,5,0,25,0.8,8,17,837,4,0,0,1,1
1496,1,2.0,1,4,0,42,0.5,5,5,854,7,0,1,1,0
1083,1,2.9,1,1,1,64,0.8,3,11,3210,4,1,0,0,3
668,0,0.5,1,0,0,3,0.1,5,13,2746,8,1,1,1,2
1309,0,1.1,1,0,0,33,0.5,4,14,2334,11,1,0,1,2
1724,0,2.0,1,2,1,57,0.5,3,5,2822,16,1,1,0,3
1977,1,2.0,1,7,1,54,1.0,7,18,1971,14,1,1,0,2
885,0,2.3,1,0,1,15,0.4,7,0,1410,5,1,1,1,0
879,1,2.5,0,11,1,14,0.7,6,15,349,2,1,0,1,0
1322,0,1.7,1,6,0,7,0.8,3,9,1418,12,0,1,0,1
1137,1,1.0,0,18,0,7,1.0,3,19,3616,12,1,1,1,3
1355,0,2.3,0,10,1,23,0.2,5,16,880,8,1,1,0,0
1665,1,0.5,0,3,1,60,0.2,6,18,1601,14,1,0,0,2
657,0,2.5,0,0,0,37,0.7,2,1,1412,18,0,1,0,0
593,0,0.5,0,6,0,31,0.4,7,7,1692,7,1,0,0,1
1883,1,0.5,0,3,1,10,0.3,6,13,2600,20,1,0,0,3
1732,1,1.1,0,4,1,12,0.8,8,9,1308,11,1,0,1,1
543,0,0.5,0,0,0,57,0.7,5,4,2413,15,1,0,0,1
1939,1,2.8,1,0,1,55,0.6,4,10,1047,18,1,1,0,0
553,0,2.4,1,1,1,8,0.5,7,3,1204,8,1,1,1,0
832,0,0.7,1,2,1,39,0.7,4,3,1799,11,1,0,1,1
1661,0,1.9,1,5,0,23,1.0,5,10,2676,11,0,1,1,3
1657,1,2.4,0,3,0,42,0.1,5,16,2597,14,1,0,0,3
1135,1,2.0,1,0,0,46,0.3,1,4,3029,9,1,1,1,3
1775,1,1.5,0,3,0,41,0.1,1,7,2343,14,1,1,1,3
783,0,1.8,1,0,1,43,1.0,3,4,2016,18,1,1,0,1
617,1,2.3,0,0,0,32,0.5,7,20,2213,7,0,0,0,1
867,0,1.4,1,0,1,4,0.7,6,1,790,3,1,1,0,0
1310,1,1.1,1,13,0,7,1.0,5,14,3182,5,1,1,0,2
1804,0,0.5,0,9,1,22,0.6,7,19,3472,20,1,0,1,3
1900,1,2.3,0,1,1,18,0.2,7,9,2871,13,1,1,1,3
909,1,1.4,0,0,0,53,0.3,8,0,3187,4,1,0,0,2
1084,1,2.6,0,3,1,40,0.9,3,11,1945,10,1,1,0,1
1308,0,1.3,1,8,0,46,0.9,1,12,488,9,0,1,0,0
1778,0,0.5,0,0,0,15,0.5,3,0,1214,14,1,0,0,1
1701,1,1.6,1,3,0,10,0.3,8,7,2598,6,0,1,0,2
772,1,2.4,1,1,1,10,0.5,4,2,3242,4,1,1,0,3
825,1,0.5,1,7,0,52,0.9,3,10,3534,6,0,1,0,3
1379,0,1.1,0,5,1,36,0.8,2,7,3426,17,1,1,1,3
1166,0,2.0,0,3,1,25,0.8,5,4,2488,15,1,0,0,2
1659,0,2.8,0,5,0,16,0.6,1,20,3255,9,0,0,1,3
826,1,2.4,1,0,1,58,0.3,4,1,2863,18,1,0,1,2
1564,0,2.3,0,4,1,25,0.5,6,17,1496,7,1,1,1,1
1957,0,0.9,1,11,0,31,0.6,3,16,3801,7,1,0,1,3
1571,0,1.4,0,0,1,19,0.1,6,1,666,13,1,1,0,0
1414,0,2.0,1,2,0,54,0.8,7,3,3799,7,1,0,1,3
1790,0,2.5,1,9,0,2,0.1,1,14,1366,20,1,1,1,1
645,0,0.5,0,1,0,41,1.0,7,10,2962,4,1,1,1,2
668,0,2.9,1,7,0,30,0.2,8,12,2399,7,1,1,1,1
1652,1,1.1,1,1,0,36,0.7,4,5,2338,20,0,0,0,2
1213,1,0.5,0,0,0,16,0.5,5,0,2700,9,0,0,1,2
1272,1,2.5,1,0,0,22,0.9,6,8,2235,4,1,0,0,1
866,0,0.5,1,5,1,46,0.5,8,7,3825,2,1,1,1,3
536,0,2.4,1,12,1,3,0.3,7,14,284,4,1,1,0,0
523,0,2.6,1,1,0,14,0.1,8,2,1427,9,0,1,0,0
1753,0,0.5,1,0,1,31,0.1,1,18,1324,17,1,0,1,2
1218,0,1.8,1,1,1,14,0.5,3,4,398,5,1,0,0,0
1537,1,2.5,0,4,1,43,0.3,1,5,3685,17,1,1,1,3
786,0,2.2,1,0,0,33,0.5,7,6,2390,5,1,0,1,2
1678,0,2.1,0,3,1,64,0.9,3,11,278,10,1,1,0,0
1814,0,1.4,1,1,1,9,0.4,2,2,3556,16,1,0,0,3
1101,0,1.8,0,0,0,31,0.2,2,7,2196,19,0,1,1,1
1461,0,2.4,1,3,1,40,0.5,7,4,3799,4,1,0,0,3
1216,0,3.0,0,4,0,47,0.4,3,7,2268,4,0,1,1,2
506,0,1.6,0,6,1,41,0.8,1,7,2965,15,1,0,0,2
843,1,0.5,0,1,1,56,0.1,5,17,2341,20,1,1,1,1
742,0,2.2,1,4,0,56,0.2,7,14,3557,12,0,1,1,3
1692,1,2.1,0,3,1,61,0.9,6,12,1354,19,1,0,0,1
1485,0,1.0,0,2,1,32,0.7,2,9,2147,11,1,1,0,2
1547,0,2.9,1,6,0,45,0.7,2,8,505,3,0,1,1,0
1692,0,2.3,1,4,1,46,0.9,1,6,1394,6,1,1,0,1
637,0,2.3,0,3,1,60,0.8,4,4,374,8,1,0,1,0
1224,0,0.5,0,16,1,6,0.4,6,18,506,11,1,1,1,0
1356,0,2.8,0,0,0,29,0.5,6,0,3702,19,0,0,0,3
1840,0,0.5,1,12,0,34,0.7,1,16,1078,10,0,0,0,1
1481,1,0.7,1,4,1,37,0.6,5,13,2945,16,1,1,1,2
961,1,1.5,1,10,0,51,0.3,6,16,2981,7,1,1,1,2
1296,0,0.9,1,0,1,14,0.5,5,3,490,4,1,1,1,0
1193,0,0.9,0,11,0,26,0.5,1,20,536,4,1,0,1,0
1441,0,2.1,1,11,1,3,0.1,8,17,2317,7,1,0,1,2
517,0,1.4,1,3,1,33,0.8,4,8,3704,11,1,0,1,3
748,1,1.7,0,0,1,27,0.9,8,4,2126,7,1,0,0,1
1126,1,2.4,0,2,1,10,0.4,6,3,2050,12,1,1,1,2
1572,0,0.6,0,0,1,58,0.2,7,8,2462,10,1,0,0,3
1569,0,2.8,1,17,0,44,0.3,4,20,1260,17,1,0,0,1
1270,1,0.6,1,2,1,32,0.5,7,6,3770,13,1,1,0,3
1854,0,3.0,0,2,1,8,0.1,5,5,1886,20,1,1,0,1
625,1,1.2,1,5,1,10,0.2,4,8,3323,7,1,1,1,2
1577,0,0.5,1,0,1,42,0.3,5,4,2060,12,1,0,0,2
534,0,0.5,1,0,1,16,1.0,5,1,3926,20,1,0,0,3
946,0,1.7,1,8,1,25,0.8,6,15,2177,13,1,1,1,2
685,0,0.5,0,2,0,29,0.8,7,10,728,4,0,0,1,0
1949,0,1.3,1,0,0,23,0.1,5,1,2478,20,1,0,0,3
947,0,0.8,1,0,1,22,0.1,2,13,2842,2,1,0,0,2
801,1,2.2,1,2,0,63,0.4,7,4,1617,19,0,0,1,1
703,1,2.7,0,12,1,30,0.3,1,20,1472,7,1,0,0,0
1165,1,2.4,0,11,0,41,0.2,6,12,764,15,1,0,0,0
1082,0,0.8,0,0,0,38,0.1,8,5,2337,17,0,1,1,2
959,1,2.6,1,15,0,20,1.0,4,19,3965,6,1,0,0,3
1502,1,1.2,0,0,0,54,0.2,5,12,3693,16,1,1,0,3
1380,1,2.1,1,1,1,4,0.8,3,13,797,15,1,1,0,0
1266,0,0.5,0,0,1,5,0.1,6,9,1687,18,1,0,0,2
1934,1,2.6,1,0,1,46,0.1,1,17,2940,2,1,1,1,3
1905,1,0.5,0,3,1,6,0.5,1,5,1545,10,1,1,0,1
1831,0,1.4,1,2,0,43,0.9,5,5,3834,13,1,1,1,3
596,0,1.4,0,8,0,46,0.6,1,18,2505,15,1,1,0,1
1562,1,1.3,1,1,1,7,0.2,5,15,2243,6,1,0,0,2
1490,1,0.5,1,4,1,64,0.3,8,8,3600,7,1,1,1,3
1523,1,2.4,0,5,1,57,0.2,2,6,3971,10,1,1,1,3
640,0,0.6,0,0,0,20,0.1,4,15,2844,18,1,1,0,2
1526,0,2.1,0,1,1,23,0.2,7,8,2227,3,1,1,0,2
1989,0,2.5,1,0,1,41,0.8,3,13,1665,12,1,1,1,2
1308,0,1.9,0,0,1,61,0.7,3,7,3355,4,1,0,1,3
609,0,0.5,0,3,0,26,0.3,4,4,1866,14,1,1,1,1
1905,0,0.6,1,9,1,36,0.4,3,20,1287,16,1,0,0,1
1703,1,0.5,0,0,1,22,0.6,1,0,1046,13,1,0,1,0
1445,1,2.4,1,7,1,20,0.4,7,15,1441,13,1,1,1,1
1087,0,1.3,0,0,1,16,0.3,3,9,690,6,1,0,1,0
671,0,0.9,1,10,0,30,0.7,7,17,2504,15,1,0,0,2
1472,1,2.3,0,6,0,61,0.1,6,19,2677,8,1,0,0,2
765,0,0.5,1,0,1,47,0.3,8,1,2243,4,1,0,1,2
1642,0,0.5,1,16,1,8,0.3,6,17,2984,17,1,0,1,2
1265,0,1.5,0,7,0,49,0.7,5,16,1362,12,0,0,1,1
664,1,1.1,1,1,1,51,0.1,7,4,3629,6,1,1,1,3
1277,1,0.5,1,0,1,35,0.4,6,6,3559,6,1,1,0,3
1395,0,1.8,1,0,0,23,0.1,3,1,2571,13,1,0,1,2
1539,1,2.6,0,0,0,41,0.1,8,0,2107,10,1,0,1,2
1049,1,2.2,0,9,0,63,0.5,5,17,1022,13,0,0,0,0
1827,0,1.7,0,4,1,39,0.5,5,16,2844,10,1,1,0,2
903,0,1.0,1,0,1,50,0.4,1,0,711,10,1,1,0,0
1987,1,0.5,0,3,1,53,1.0,3,7,3117,8,1,1,1,3
1154,0,1.2,1,0,1,49,0.2,8,2,978,7,1,0,1,0
1336,0,0.9,0,5,1,17,0.2,5,9,1869,16,1,1,1,1
1886,0,0.5,0,0,1,24,0.4,3,1,1179,20,1,0,1,1
1551,0,1.1,0,4,0,51,0.1,5,6,3844,4,0,1,0,3
850,1,1.6,1,6,1,29,0.5,5,19,593,10,1,0,1,0
660,0,0.5,0,5,1,40,0.5,2,10,588,18,1,1,1,0
1225,1,2.1,1,8,0,13,0.5,4,12,3836,11,0,0,0,3
1452,1,0.5,1,1,1,25,0.9,6,11,2669,13,1,0,0,2
1686,1,2.8,1,3,0,38,0.1,4,4,2958,2,0,0,0,3
1634,1,1.4,0,1,1,17,0.2,2,5,3031,6,1,1,1,3
1708,1,2.4,1,18,1,49,0.1,1,19,3388,16,1,1,1,3
1151,1,2.9,1,0,0,31,0.6,8,1,2377,13,0,1,0,2
1578,0,1.9,1,2,1,37,0.1,4,19,2458,3,1,0,1,2
1689,0,1.8,0,17,0,24,0.3,3,18,2766,7,0,1,1,3
1488,0,0.5,0,1,0,39,0.8,5,6,3054,19,0,0,0,3
1313,1,1.8,1,4,0,9,0.4,1,6,3791,6,0,1,1,3
1715,0,1.0,1,4,1,31,0.5,8,17,625,13,1,0,0,0
1442,0,1.0,1,0,0,27,0.1,3,19,2227,20,1,1,0,1
528,0,1.7,0,12,1,6,0.8,2,15,3256,6,1,1,0,2
1523,1,1.8,0,6,1,11,0.1,1,8,707,19,1,1,0,0
1133,0,1.4,0,3,0,42,0.1,5,12,1457,20,1,0,1,1
1718,1,2.5,1,14,1,6,0.1,5,16,3755,8,1,1,1,3
1330,0,0.5,0,0,0,38,1.0,7,1,1733,11,1,0,1,1
1799,1,0.5,0,0,0,49,0.4,4,2,720,11,1,1,1,0
633,1,2.2,0,0,1,49,0.1,8,1,3560,16,1,1,1,2
724,0,2.7,1,0,0,44,0.5,7,0,2311,7,1,0,0,2
822,1,0.5,0,0,1,51,0.3,6,20,3846,3,1,0,0,3
1918,0,1.9,0,2,0,10,0.6,5,10,1717,16,1,1,1,2
1891,0,2.8,0,7,1,37,0.4,7,14,3704,11,1,0,0,3
1373,1,1.0,1,2,0,50,0.2,7,12,3800,14,1,0,0,3
862,1,0.8,1,3,0,23,0.4,2,15,278,11,0,0,1,0
1273,0,1.0,0,3,1,48,0.4,4,15,1767,11,1,1,0,1
957,1,2.5,0,4,0,7,0.8,5,10,1846,7,1,0,1,1
1617,1,1.3,1,3,1,30,0.7,2,4,829,10,1,0,0,0
893,0,2.5,1,0,0,55,0.6,2,1,2986,6,0,1,1,2
1210,0,0.5,0,0,0,63,0.1,5,0,2394,7,0,0,0,2
708,1,2.7,1,0,1,63,1.0,8,7,2169,7,1,1,1,1
835,0,1.1,1,2,0,7,0.2,4,7,1181,15,1,1,1,0
1450,1,2.7,1,9,0,19,0.6,1,17,575,12,0,0,0,0
973,1,1.5,0,5,1,57,0.2,7,16,2977,2,1,0,0,2
601,1,1.4,0,4,1,4,0.1,4,13,532,10,1,1,1,0
507,1,0.5,1,1,0,32,0.5,7,11,1702,5,1,1,1,1
564,0,1.8,1,0,1,51,0.5,3,1,1074,15,1,1,0,0
1559,1,1.6,1,6,1,6,0.5,6,17,3352,3,1,1,1,3
754,0,0.5,1,7,1,59,0.7,7,10,1027,5,1,0,0,1
728,0,2.7,1,0,0,25,0.2,4,1,2039,12,1,1,1,1
1431,1,0.5,0,0,1,56,0.6,1,1,461,8,1,0,0,0
767,0,1.5,0,4,0,28,0.7,4,10,527,15,0,1,0,0
1722,0,2.6,0,8,0,18,0.8,2,16,3271,15,1,0,1,3
1992,1,1.6,0,5,1,57,1.0,2,15,606,4,1,1,1,1
1876,0,0.5,0,10,1,40,0.3,6,14,2513,16,1,1,0,3
1054,0,1.1,1,10,1,38,0.4,6,12,1675,14,1,1,1,1
1283,1,1.6,1,4,0,47,0.9,5,5,2698,17,1,1,0,2
1281,1,2.3,1,0,0,28,0.3,1,6,1129,6,0,1,0,1
1066,0,0.6,0,2,1,7,0.9,7,18,468,6,1,1,0,0
730,0,2.1,1,0,1,4,0.1,8,2,1210,4,1,1,1,0
1053,1,0.8,1,7,1,45,0.3,1,12,3086,5,1,1,1,3
1611,1,0.5,1,11,0,3,0.6,3,14,1595,9,1,0,1,1
793,0,1.0,1,5,1,30,0.9,2,15,2332,14,1,1,1,2
1220,0,2.9,0,3,0,62,0.5,4,8,2589,15,1,1,1,2
1662,0,0.5,0,0,1,61,0.8,4,13,3760,13,1,1,1,3
1281,1,2.8,1,3,1,8,0.3,4,19,1851,9,1,1,0,1
538,0,0.8,0,12,1,2,0.8,7,13,417,9,1,0,1,0
823,1,0.5,0,0,0,39,0.4,8,4,294,11,0,0,1,0
1733,1,2.8,0,3,1,36,1.0,6,20,3576,9,1,0,0,3
1429,0,1.5,1,0,1,40,0.9,3,14,3945,18,1,0,1,3
1839,1,1.2,0,9,1,54,0.5,7,11,927,18,1,0,1,1
659,0,2.7,0,6,1,6,0.5,3,7,2044,2,1,0,1,1
1953,1,2.1,1,7,0,56,0.1,8,9,2334,4,1,0,0,2
1172,0,1.9,0,0,1,27,0.7,1,3,1477,6,1,0,0,1
612,1,1.9,1,6,0,16,0.3,7,7,3161,3,0,0,0,3
1563,0,2.4,0,0,1,24,0.2,8,0,3660,5,1,1,0,3
1191,0,1.3,1,16,1,26,0.8,1,20,1604,9,1,0,1,1
615,1,0.5,1,0,0,42,0.6,6,4,2211,18,0,0,1,1
1893,1,2.1,1,8,0,63,0.2,2,11,3822,18,0,1,1,3
1563,0,1.7,1,10,0,16,0.1,7,13,3922,8,0,0,1,3
1995,1,1.9,0,6,0,9,0.8,6,18,1203,18,1,1,1,2
1517,0,0.5,0,6,1,48,0.6,5,14,2822,11,1,1,1,3
832,0,1.6,1,1,1,34,0.3,5,5,447,12,1,1,0,0
1162,0,2.0,0,0,1,56,0.7,7,1,1652,20,1,0,0,1
1595,1,2.6,0,7,0,12,0.3,8,19,3608,16,0,1,0,3
1329,1,1.0,0,1,0,52,0.9,6,2,1228,6,1,0,1,1
928,1,0.5,1,11,0,56,0.7,8,13,666,5,0,1,0,0
1656,1,0.5,1,8,1,38,0.1,7,17,1499,19,1,0,1,1
1937,1,1.7,0,17,0,58,0.6,1,19,3321,14,1,1,0,3
977,1,1.1,1,2,0,57,0.6,6,7,1206,8,0,1,1,0
768,1,0.9,0,16,1,56,0.1,1,20,952,16,1,0,1,0
1464,1,0.5,1,11,0,12,0.9,2,14,3927,15,0,1,1,3
1177,0,0.9,0,1,1,29,0.4,2,8,311,19,1,0,0,0
1348,0,2.0,0,18,0,52,0.3,3,20,955,7,1,1,1,1
1956,0,2.2,0,0,1,37,0.5,3,2,1109,19,1,1,0,1
1751,0,0.5,1,6,0,8,0.6,6,20,2969,17,0,0,1,2
1530,0,2.0,0,11,0,42,0.8,6,13,725,19,0,0,1,0
1997,1,1.8,1,1,0,40,0.5,4,8,1655,15,1,0,0,2
1414,1,1.5,1,5,0,44,0.5,2,6,3490,13,0,1,0,3
1707,0,1.4,0,0,0,41,0.8,7,2,1774,10,0,0,0,2
894,0,0.5,1,1,1,50,0.5,3,14,3615,6,1,0,1,3
645,0,1.2,0,6,1,41,0.7,8,17,714,13,1,1,0,0
1163,0,2.8,1,0,0,49,0.6,2,0,2768,12,0,0,1,2
1126,0,0.7,0,3,0,49,0.9,8,17,3739,13,1,0,0,3
1648,0,0.7,0,6,1,64,0.8,4,9,610,6,1,1,0,1
1170,1,0.9,0,6,1,14,0.4,2,13,715,20,1,0,1,0
508,0,0.8,0,7,1,42,0.3,1,8,663,7,1,0,0,0
1097,0,2.1,1,6,0,64,0.2,3,8,1725,9,1,0,1,1
728,0,1.7,1,0,1,5,0.6,2,20,834,5,1,1,0,0
1980,0,0.5,1,2,1,29,0.8,1,13,3865,18,1,0,0,3
1504,0,2.3,1,1,0,64,0.9,1,2,3059,10,0,1,0,3
1379,1,2.1,1,14,1,63,1.0,1,17,651,7,1,1,0,0
1698,0,2.1,0,5,1,18,0.9,6,20,796,14,1,0,1,0
920,0,2.1,1,5,0,25,0.4,7,14,785,5,0,1,1,0
1144,1,1.5,1,0,0,21,0.4,1,11,3252,8,0,0,0,2
1995,1,0.5,0,6,0,26,0.2,1,15,1322,7,0,1,1,1
1430,0,0.5,1,1,0,27,0.5,1,16,2832,15,0,1,1,2
972,1,0.5,1,5,0,13,0.4,5,8,1615,13,0,1,0,1
