battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,price_range
662,0,0.5,0,5,0,20,0.8,1,10,2125,15,0,1,1,1
1867,0,2.3,0,0,1,9,0.1,6,3,990,2,1,0,1,1
1730,0,2.0,1,0,1,20,0.1,4,10,1595,12,1,1,0,1
1723,1,1.0,0,1,1,7,0.6,3,17,1213,16,1,1,1,1
1882,1,1.3,1,8,0,47,0.2,2,13,2500,11,0,0,1,2
803,0,0.8,1,0,0,18,0.3,4,1,2801,12,0,1,0,2
580,1,1.2,1,0,0,47,0.9,3,1,3451,11,1,1,0,3
668,0,2.3,0,2,1,48,0.3,1,19,1201,4,1,1,0,0
1391,0,1.4,0,2,1,36,0.8,1,6,3139,14,1,1,0,2
1560,0,2.3,0,0,1,22,0.8,7,1,1938,16,1,1,1,2
821,0,1.8,1,5,0,54,0.1,3,9,3185,15,1,0,0,2
811,1,2.4,1,5,1,2,0.3,6,13,2111,2,1,0,1,1
1989,1,2.9,1,8,0,17,0.1,8,15,2369,18,1,1,0,2
1034,1,2.7,1,6,0,37,0.7,7,20,3625,12,0,1,1,3
618,0,2.1,0,2,0,6,0.3,1,4,1051,15,0,0,1,0
654,1,1.3,0,0,1,52,0.7,4,4,1036,13,1,0,0,1
576,1,2.8,0,2,1,10,0.2,5,7,2938,5,1,1,1,2
667,1,0.6,0,6,1,3,0.7,6,13,2855,19,1,0,1,2
869,1,1.0,0,7,1,57,0.6,1,15,2727,8,1,0,0,2
635,1,0.5,1,2,0,42,0.4,3,4,2973,18,0,0,1,2
609,1,3.0,0,15,1,44,0.3,1,16,2581,15,1,0,1,1
1557,0,2.8,1,16,0,2,0.1,5,20,2690,9,0,0,1,3
1604,1,1.7,0,2,0,33,1.0,8,5,916,12,0,1,1,0
1182,0,0.5,0,7,1,8,0.5,8,16,2563,19,1,0,0,2
848,1,2.1,1,10,1,19,0.8,7,18,3359,14,1,0,0,2
1610,1,2.9,0,7,1,64,0.9,4,12,941,9,1,1,0,1
1828,1,2.1,1,0,0,17,0.9,1,1,2280,4,0,0,0,2
880,0,2.0,1,1,1,50,0.5,7,3,827,6,1,0,1,0
1394,1,0.9,1,10,1,62,0.3,5,13,473,20,1,1,0,0
1960,1,2.3,1,1,1,61,0.3,7,3,3865,11,1,0,0,3
809,0,0.8,0,10,0,21,0.9,7,19,1274,3,0,0,0,1
899,0,0.5,1,13,1,57,0.9,2,18,364,7,1,1,0,0
1976,1,0.7,1,4,0,32,0.8,2,7,3699,13,0,1,1,3
879,0,1.5,1,0,1,21,0.8,4,2,2927,11,1,0,1,2
916,1,2.6,0,0,0,36,0.3,4,12,1470,14,0,1,0,0
763,0,1.7,1,8,1,2,0.5,8,14,1050,8,1,1,0,0
508,0,1.6,1,0,0,9,0.4,6,2,2616,10,1,1,1,2
825,0,2.9,1,0,0,34,0.8,8,17,2915,10,1,1,0,3
1864,0,1.4,0,8,1,46,0.7,1,12,2686,18,1,1,1,2
1725,0,0.5,1,8,1,52,1.0,6,12,1243,5,1,1,1,1
1108,1,2.9,0,10,0,52,0.1,2,12,3264,13,0,1,1,3
1011,0,1.1,0,4,1,36,0.2,7,18,2261,16,1,1,1,1
1703,1,1.5,1,17,1,55,0.7,5,19,2993,20,1,1,1,3
1067,1,1.7,1,0,0,58,0.5,7,0,706,16,0,1,0,0
1334,1,2.4,0,5,1,42,0.6,5,14,2542,8,1,0,0,3
775,1,2.6,0,0,0,30,0.4,7,10,2523,9,1,0,1,2
1899,1,0.6,0,0,0,26,0.1,2,0,336,4,1,0,1,0
930,1,1.3,1,1,1,14,0.4,6,10,2457,17,1,1,0,1
1058,0,1.5,0,2,0,19,0.4,4,14,418,16,0,0,1,0
1187,1,2.2,0,0,1,46,0.4,2,9,3917,8,1,0,1,3
1874,1,2.7,1,10,0,8,0.9,7,13,1246,2,0,0,1,1
1482,0,0.5,0,2,0,48,0.2,7,10,2971,12,1,1,1,2
1809,1,1.7,0,3,1,59,0.1,3,4,2324,16,1,0,1,2
864,1,3.0,1,0,1,54,0.7,2,1,3121,16,1,1,1,2
625,1,1.9,0,12,1,33,0.2,1,20,3801,2,1,0,0,2
1880,1,1.8,0,4,1,18,0.7,3,5,3333,7,1,0,0,3
1138,0,1.4,0,12,1,44,0.2,8,17,3475,3,1,0,0,3
560,0,0.5,0,14,0,23,1.0,8,15,2360,18,0,1,1,1
1117,0,0.5,0,1,0,12,0.6,7,8,2895,16,1,1,0,2
1712,0,1.4,0,1,0,63,0.5,7,12,3652,19,1,0,0,3
1836,1,1.7,1,3,0,26,0.1,6,16,3097,18,0,1,0,3
1036,1,2.4,0,0,0,39,0.2,7,3,2101,2,0,1,0,1
1860,1,2.3,0,15,0,23,0.6,4,16,3918,8,0,1,0,3
1375,1,1.1,0,3,1,9,0.9,7,19,3869,10,1,1,1,3
1945,0,1.6,1,0,1,57,0.3,4,1,732,14,1,1,0,1
1896,0,0.5,1,8,1,7,0.4,2,13,3684,18,1,0,0,3
788,0,2.5,1,4,1,57,0.9,8,12,3969,6,1,1,1,3
880,1,1.7,1,0,0,33,0.7,2,2,1414,7,1,1,0,0
1323,1,2.5,1,10,1,28,0.2,4,12,1892,15,1,1,1,1
1868,0,2.0,1,0,1,42,0.2,1,4,3131,7,1,1,1,3
1266,0,1.9,1,0,1,7,0.2,3,12,2532,4,1,1,1,2
1042,0,2.7,1,16,1,50,0.8,7,18,3215,20,1,1,1,3
1479,0,0.5,0,8,0,19,0.6,3,10,3323,6,1,0,1,3
1476,1,1.2,1,0,1,55,0.1,4,5,1529,3,1,0,1,2
1552,1,2.2,0,6,1,13,0.2,6,9,2403,9,1,1,1,2
1454,1,0.5,1,1,0,34,0.7,4,3,3419,5,1,1,0,3
1007,0,2.0,0,0,0,45,0.1,5,2,3648,16,0,0,0,3
652,1,2.4,1,9,1,17,0.7,5,11,1974,12,1,0,0,0
1504,0,1.5,0,12,1,34,0.7,8,15,2806,7,1,0,1,2
1726,1,0.9,1,2,0,51,0.6,4,3,2239,13,1,0,1,2
1029,1,1.9,1,5,1,5,0.2,5,8,582,4,1,1,1,0
1582,0,2.8,0,2,1,44,0.5,6,13,3890,10,1,1,1,3
1478,1,0.8,1,12,0,48,0.7,5,17,1141,6,0,0,1,1
1178,1,1.3,0,0,0,49,0.6,5,0,2511,17,0,0,0,2
707,0,2.1,1,2,0,25,0.8,3,17,3838,7,1,0,1,3
755,1,2.8,0,5,1,51,0.3,4,12,2734,16,1,0,1,2
912,1,2.0,0,1,0,54,0.3,8,5,2330,20,0,1,0,1
651,1,0.8,1,2,1,63,0.2,5,4,2244,19,1,1,0,1
1483,0,2.1,0,1,1,54,0.2,7,2,1851,2,1,1,0,1
914,1,0.9,0,2,0,4,0.8,2,12,808,5,1,1,0,0
1456,1,0.5,1,7,0,7,0.4,5,12,1587,20,1,0,1,1
1178,0,2.2,1,6,0,57,0.3,3,17,2492,10,1,1,0,2
1503,1,0.7,0,10,1,43,0.2,4,14,2122,2,1,0,0,2
1681,1,2.5,0,2,0,11,0.4,2,13,1122,16,0,1,1,0
715,0,2.3,1,4,0,48,0.1,4,6,3709,10,0,0,0,2
1876,0,2.8,1,3,1,56,0.4,3,4,3021,18,1,0,0,2
1190,1,2.2,1,9,0,47,0.3,6,10,624,19,1,1,1,0
1755,1,1.3,0,0,1,24,0.1,7,2,3937,7,1,0,1,3
1197,0,1.3,0,3,1,20,0.5,6,7,1797,4,1,1,1,1
1048,1,0.9,0,10,1,28,0.8,2,19,1458,15,1,0,1,1
1887,1,3.0,1,6,1,17,0.2,8,7,3348,16,1,1,0,3
1772,1,0.5,1,3,0,64,0.7,8,15,1834,20,0,1,1,1
1421,0,2.8,0,0,1,57,0.4,1,2,2775,14,1,0,1,3
1464,0,0.5,1,0,1,17,0.7,6,8,1277,19,1,0,0,1
728,0,2.3,1,4,0,23,0.8,4,5,457,16,1,1,1,0
954,1,0.5,0,0,0,50,0.3,2,11,438,2,1,0,0,0
685,0,0.5,1,8,1,13,0.8,7,15,3210,2,1,1,1,3
1472,0,2.8,1,1,0,36,0.5,6,10,985,7,1,1,0,1
853,1,2.0,0,10,1,3,0.6,2,16,3701,8,1,1,0,3
1469,0,2.1,0,0,0,8,0.7,7,0,1052,3,0,1,0,0
1310,1,2.3,1,6,0,57,0.9,8,9,1175,8,0,0,0,0
1654,0,1.8,0,1,0,11,0.3,7,2,1070,14,1,1,1,1
902,1,0.7,0,3,0,3,0.3,7,9,3411,15,0,0,1,3
1448,0,1.4,1,13,0,26,1.0,3,16,1175,6,0,1,0,1
1631,0,0.9,1,2,1,3,0.1,7,12,301,13,1,0,0,0
1608,0,1.8,1,7,0,28,0.4,2,13,489,8,0,0,1,0
1991,1,2.7,0,5,1,64,0.9,2,13,1733,8,1,1,0,2
1349,0,2.0,1,15,0,62,0.3,5,16,2756,4,1,0,0,2
1589,0,2.5,0,5,1,51,0.8,1,18,2612,16,1,0,0,2
1844,1,2.3,1,1,0,51,0.7,8,3,1724,14,0,1,1,1
712,1,0.5,1,3,1,35,0.2,2,10,2190,4,1,1,1,1
972,1,1.7,0,0,1,54,0.7,3,4,1900,19,1,0,1,1
1406,0,0.5,1,2,1,34,0.8,3,5,3915,2,1,0,1,3
1289,0,0.9,0,10,1,25,1.0,6,12,1043,11,1,1,0,0
932,0,1.3,0,1,0,64,0.7,7,2,3817,9,1,1,1,3
1747,1,0.9,0,6,1,48,0.7,3,19,2362,19,1,1,0,2
1172,1,2.1,1,4,0,41,0.1,3,7,1107,5,0,0,0,1
1128,1,1.4,0,12,0,53,0.4,5,14,2982,12,1,1,0,3
664,0,1.2,1,0,0,28,0.9,5,5,2042,19,1,1,0,1
513,1,0.5,0,6,1,44,0.1,4,12,1343,9,1,1,0,0
1742,0,2.3,1,9,1,43,0.4,7,12,2610,10,1,0,1,2
1512,1,1.7,0,12,0,6,0.7,7,17,2335,7,1,1,1,2
1986,0,0.5,1,3,1,51,0.1,8,20,1614,3,1,1,1,1
965,1,1.5,1,5,0,13,1.0,2,14,1138,10,0,1,0,0
1067,1,2.4,1,3,1,40,0.6,8,15,604,11,1,0,0,0
1583,1,1.6,0,5,1,42,0.8,3,10,3652,9,1,0,0,3
1653,0,0.5,1,2,1,37,0.9,4,6,3955,18,1,1,1,3
1433,0,1.6,0,7,0,4,0.7,8,11,258,4,1,1,1,0
765,0,2.9,0,0,1,18,0.1,7,0,1066,16,1,1,0,0
1845,1,0.5,1,10,0,61,0.3,1,12,1731,6,0,0,0,1
752,0,0.5,1,1,0,48,0.7,7,13,3860,16,0,0,0,3
1948,0,2.8,1,8,0,16,0.1,5,10,3630,17,0,1,0,3
1077,0,2.5,1,0,1,45,1.0,3,4,1965,6,1,1,0,1
932,1,0.5,0,1,1,60,0.7,4,2,1459,19,1,1,0,0
1968,0,0.9,0,0,0,22,0.8,3,7,2323,7,0,0,1,2
1122,0,1.2,0,9,0,2,0.6,4,14,3291,13,1,1,1,2
1588,0,0.5,0,0,1,61,0.8,1,13,3272,17,1,1,0,3
601,0,2.1,0,4,0,26,0.3,4,18,918,12,0,0,0,0
1615,0,0.5,0,14,0,15,0.1,4,16,3488,3,0,0,1,3
1589,1,2.2,1,2,0,58,0.1,4,4,3961,14,1,0,1,3
1417,1,2.7,0,2,1,56,0.9,6,4,590,6,1,0,1,0
1697,1,0.7,0,1,1,34,0.1,1,3,3701,8,1,1,0,3
1330,1,1.3,1,14,0,3,0.3,5,17,463,11,0,0,1,0
1476,0,0.5,0,0,1,43,0.7,2,2,3644,6,1,0,1,3
1579,1,1.5,0,0,0,27,0.2,6,18,1713,10,1,1,1,1
1277,0,3.0,0,0,1,41,0.3,4,3,429,14,1,1,1,0
1089,1,0.9,1,12,1,2,0.7,5,15,2765,10,1,0,1,2
1663,1,2.5,1,13,1,27,0.3,4,14,2084,18,1,0,0,2
1949,0,1.8,0,0,0,20,0.8,5,4,1125,9,0,0,0,1
1138,0,1.1,0,5,1,48,0.6,3,14,2048,18,1,1,1,2
685,0,2.7,0,7,0,17,0.3,6,20,1223,18,1,0,1,0
1889,0,2.8,0,5,1,31,1.0,1,10,3672,3,1,1,1,3
857,1,2.0,1,3,0,17,0.2,7,9,3100,13,1,1,0,2
1902,0,2.8,1,6,0,50,0.8,8,9,343,18,0,1,0,0
1225,1,2.4,0,0,0,15,0.1,5,0,1970,15,1,1,0,1
1066,0,1.6,0,5,0,39,0.6,5,17,2728,17,1,1,1,2
1554,1,0.5,1,11,0,5,1.0,3,12,3635,18,0,0,0,3
1337,0,0.5,0,13,0,31,0.8,2,20,2180,16,1,0,1,1
1926,1,1.7,1,1,1,33,0.4,3,2,2488,14,1,0,0,2
869,0,1.3,1,3,0,34,0.1,2,4,3864,11,1,0,0,3
1278,1,0.5,1,1,0,54,0.1,8,16,1155,20,0,0,1,0
1773,1,2.5,0,16,1,32,0.6,6,18,3566,13,1,0,1,3
1661,1,0.8,1,1,1,6,1.0,7,2,864,2,1,0,1,1
1438,0,2.2,0,0,1,32,0.6,7,6,869,9,1,1,1,0
1661,1,1.4,0,0,0,29,0.3,2,0,591,9,1,1,1,0
1846,1,0.6,0,1,0,19,0.7,1,2,1333,11,0,1,1,1
1260,1,2.0,1,2,1,23,0.2,7,10,2208,10,1,0,1,2
512,1,0.5,1,7,0,15,0.9,3,15,2610,15,0,1,1,2
581,0,2.2,0,0,0,59,0.7,5,6,2819,9,0,0,1,2
1872,1,2.3,0,6,0,44,0.7,3,15,1955,15,1,0,1,2
687,1,1.3,0,9,1,50,0.6,4,20,3416,8,1,1,0,3
1062,1,2.5,1,6,0,10,0.9,1,13,3803,16,0,0,1,3
1678,1,2.3,1,11,0,7,0.5,1,14,574,19,1,0,0,0
1417,1,0.5,0,10,1,45,0.9,4,19,2129,12,1,0,1,1
1074,0,2.4,1,2,1,9,0.9,6,14,1948,18,1,1,1,1
1832,0,0.7,0,2,0,2,0.6,7,6,2978,18,0,0,0,2
1039,0,1.3,0,0,1,12,0.8,8,0,1619,10,1,1,1,1
1059,0,2.4,0,8,0,61,0.1,3,18,3716,11,1,1,0,3
1606,0,1.4,0,3,0,57,0.1,4,4,3454,20,0,0,1,3
1928,1,1.8,0,9,1,19,1.0,3,20,3777,13,1,1,1,3
1875,1,0.5,1,11,1,55,0.7,1,17,2712,6,1,0,1,3
1128,1,1.1,0,9,1,46,0.9,8,10,1434,11,1,0,0,1
1748,0,1.7,1,6,1,14,0.5,3,7,3968,3,1,0,1,3
1413,0,0.5,1,5,0,51,0.3,5,11,3383,2,0,0,0,3
825,0,0.5,1,0,1,23,0.1,2,0,3278,2,1,0,1,3
1589,1,1.4,0,3,1,26,0.1,8,16,3970,18,1,0,1,3
535,1,0.5,1,8,1,54,0.5,8,15,2674,10,1,0,0,2
1780,1,0.5,0,6,0,27,0.1,4,11,2776,14,1,1,1,3
1671,0,0.6,1,7,1,61,0.1,2,11,2336,7,1,0,0,2
1821,0,0.9,0,9,1,12,0.3,1,18,2430,6,1,1,1,2
1076,1,2.6,0,3,1,38,0.7,6,8,891,9,1,1,0,0
532,1,0.8,1,3,0,8,0.1,5,10,728,8,1,1,0,0
777,1,2.6,0,3,0,30,0.9,5,17,3886,7,1,0,0,3
1217,1,0.5,0,3,0,17,0.5,4,13,1711,9,1,0,1,1
1656,1,1.6,1,0,0,16,1.0,7,2,2856,20,1,1,1,2
1185,0,1.9,0,0,0,31,0.4,8,7,2447,3,1,1,1,2
577,0,2.4,0,8,1,37,0.9,6,20,814,19,1,1,1,0
737,1,2.4,1,7,0,49,0.6,4,16,2951,10,0,1,0,2
704,0,2.2,1,4,0,53,0.2,6,6,3653,15,1,1,1,2
525,1,0.5,1,5,0,51,0.5,8,11,1891,12,0,1,0,1
504,1,0.5,1,5,0,16,0.1,1,9,701,15,1,0,1,0
793,0,1.2,1,1,1,38,0.6,4,7,3139,12,1,1,1,3
569,0,0.6,1,2,0,39,0.1,8,9,2811,7,1,0,1,1
1590,0,1.9,1,3,1,21,1.0,5,18,1701,4,1,0,1,1
707,0,0.5,0,0,1,16,0.1,2,0,1853,12,1,1,1,1
767,0,1.9,0,16,1,19,0.2,6,17,2445,6,1,1,1,1
1350,1,0.5,1,0,1,50,0.8,8,4,2287,8,1,1,0,1
1117,1,0.6,1,0,0,31,0.2,2,7,2003,14,0,1,1,2
641,1,1.1,0,0,1,7,0.9,1,3,3595,19,1,1,1,2
1002,0,0.8,1,0,1,35,0.5,2,4,1726,19,1,0,1,1
1408,1,2.1,1,10,0,45,0.9,5,14,3952,3,0,0,1,3
1900,1,2.0,1,1,0,41,0.5,8,6,850,4,1,1,1,1
726,0,2.9,0,0,0,43,0.1,8,0,1446,8,1,1,0,0
1544,0,2.3,0,12,1,45,0.1,8,20,1300,18,1,1,0,1
1454,1,1.6,0,6,1,21,0.2,4,10,719,10,1,1,1,0
1230,1,2.2,1,6,0,26,0.8,5,7,988,9,0,1,1,0
1552,0,1.2,0,10,1,53,0.3,8,18,2606,12,1,0,0,2
1519,0,2.1,0,0,0,32,0.7,1,10,2912,15,1,1,0,2
723,1,1.9,0,4,0,30,0.3,1,7,2339,17,0,1,1,2
1191,0,2.4,1,2,0,13,0.9,1,7,1028,8,1,1,1,0
1168,0,1.3,0,9,0,61,0.1,8,10,3173,17,0,0,1,3
1229,0,0.5,1,15,0,14,0.8,2,16,1667,17,0,0,1,1
1758,1,0.5,0,11,1,13,0.6,8,14,1897,15,1,0,0,2
1290,0,0.5,0,0,0,3,0.1,6,4,1214,15,0,1,1,1
574,0,2.8,1,16,0,38,0.1,6,17,3269,10,0,1,0,2
1271,1,0.5,0,12,0,32,0.1,7,15,445,14,0,0,1,0
1170,1,1.2,0,4,0,30,0.4,8,15,1073,8,1,1,0,0
1269,1,1.3,0,14,0,52,0.8,2,15,665,5,0,0,0,1
1288,0,2.8,1,15,0,50,0.1,2,20,3129,2,0,0,0,3
1366,1,0.7,1,0,1,34,0.1,2,9,3501,3,1,0,0,3
1572,1,0.8,1,7,1,8,0.8,5,8,3461,10,1,1,1,3
1627,0,0.9,1,9,1,32,0.1,6,16,3206,16,1,1,0,3
1701,1,0.5,0,13,1,46,0.9,2,15,3717,10,1,1,0,3
1900,1,0.5,1,0,1,55,0.9,1,1,3917,18,1,0,1,3
1974,0,1.0,0,4,0,24,0.3,7,13,861,6,1,0,1,0
1197,1,0.5,1,9,0,20,0.1,5,10,2885,14,1,1,1,2
587,1,2.3,1,4,0,6,0.7,1,16,2777,14,1,1,0,2
934,0,1.1,0,7,0,24,0.8,5,12,1017,9,0,0,1,0
1195,0,2.0,1,1,1,23,0.1,4,9,980,17,1,0,0,0
1853,1,1.0,0,2,0,23,0.4,1,15,2775,17,1,0,0,3
1164,0,1.0,0,4,1,19,0.9,8,18,3309,3,1,0,1,3
1512,1,0.5,0,8,1,18,0.1,3,17,3607,6,1,1,1,3
1232,0,2.9,1,1,1,24,0.3,5,17,1257,16,1,0,0,0
1813,1,0.6,1,0,1,5,0.2,3,8,759,14,1,1,0,0
946,1,2.6,1,17,0,5,0.1,3,20,3720,4,0,1,0,3
739,1,2.3,1,2,1,58,0.1,3,4,475,6,1,0,1,0
704,1,2.7,0,8,1,29,0.2,1,10,1122,10,1,1,1,0
1663,1,0.5,0,0,0,40,0.6,4,15,1336,15,1,0,0,1
1966,1,1.4,1,2,0,40,0.9,8,18,1185,20,0,1,0,2
1219,0,1.0,1,0,0,17,0.7,5,4,705,6,0,1,1,0
612,1,0.7,0,6,0,35,0.6,5,12,3169,6,0,0,0,2
1658,1,1.4,0,0,1,39,0.7,1,5,3483,15,1,0,1,3
1263,0,0.5,0,12,0,64,0.3,5,18,1183,17,0,0,1,1
1395,1,2.8,0,0,1,55,0.6,3,1,3373,16,1,1,0,3
621,1,2.7,1,0,0,54,0.1,4,20,2801,5,1,1,1,2
652,0,0.5,1,1,0,58,0.6,3,2,565,9,0,0,1,0
1175,0,0.6,0,10,0,25,0.1,2,12,3153,12,1,0,0,2
561,1,1.0,0,0,0,11,0.1,8,10,3421,5,1,1,1,2
1137,0,2.2,0,6,1,3,0.9,5,7,316,17,1,0,0,0
1835,1,2.3,0,4,1,11,0.1,7,13,448,14,1,0,0,0
1170,0,2.9,1,2,0,40,0.4,6,5,2366,2,1,1,1,1
1595,1,0.8,1,0,1,44,0.7,4,20,3881,9,1,0,1,3
1719,1,2.0,0,0,0,12,0.3,8,7,462,5,0,0,0,0
1770,0,2.3,1,0,0,7,0.8,7,6,1480,17,1,0,0,1
1312,0,0.5,1,0,1,28,0.8,2,0,1087,14,1,0,0,1
1878,0,1.5,1,5,1,56,0.3,5,13,2711,3,1,1,1,2
1871,1,2.0,0,7,1,20,0.1,7,14,2144,12,1,1,1,2
922,0,1.5,1,1,1,35,0.9,7,15,1165,4,1,1,1,0
1975,1,1.5,0,6,1,16,0.9,8,11,2998,13,1,1,0,2
1212,0,2.6,0,1,1,46,0.3,4,8,2249,4,1,1,1,2
1430,1,0.9,0,3,0,56,0.1,3,5,752,17,0,0,1,0
1958,1,1.9,1,0,0,4,0.2,2,3,1409,3,0,0,0,1
1836,1,2.1,1,0,1,30,0.2,7,15,3072,5,1,1,0,3
557,1,1.6,0,0,0,24,0.5,3,0,1305,3,1,0,1,0
539,1,0.6,1,9,0,21,0.1,7,14,3597,9,0,0,0,2
880,0,0.5,1,1,0,44,0.5,8,15,3132,6,0,1,1,2
1369,1,1.8,1,6,0,34,0.5,1,7,3856,18,0,1,1,3
1109,1,2.7,1,1,0,39,0.4,1,9,1524,7,1,1,1,1
843,0,1.8,1,0,0,16,0.1,5,6,3673,20,1,0,1,3
598,0,2.3,1,7,0,21,0.7,2,10,3293,7,1,0,1,2
972,1,2.7,1,1,0,5,1.0,4,2,3035,19,1,0,1,2
1944,1,0.5,0,5,1,36,0.1,6,18,584,13,1,1,0,1
1225,0,0.7,1,0,1,2,0.6,7,1,2675,15,1,1,0,2
644,1,1.3,1,7,1,30,0.5,1,16,2382,19,1,0,1,2
1919,0,1.5,0,5,1,48,0.8,4,6,1391,12,1,0,1,1
501,0,2.3,0,12,1,54,0.3,4,19,2346,2,1,0,1,1
1620,1,2.2,1,0,1,30,0.2,3,3,606,18,1,0,0,0
1227,1,1.1,1,0,0,34,0.2,3,3,1324,12,0,1,1,1
1359,1,0.5,1,1,1,58,0.5,6,3,1076,4,1,1,1,0
1914,0,0.7,0,1,0,35,0.6,8,2,643,8,1,0,1,1
1645,1,1.8,0,1,0,21,0.7,7,2,783,20,1,0,0,0
1063,1,1.1,0,0,1,26,0.8,5,2,3809,5,1,0,1,3
946,0,2.1,0,0,1,19,0.2,8,0,2104,16,1,1,0,1
1231,0,1.2,1,5,0,54,0.8,3,10,1762,6,1,1,0,1
1397,0,2.9,1,13,0,9,0.5,6,18,3137,11,1,1,1,3
701,1,0.7,0,7,0,15,0.5,3,11,1756,17,1,1,1,1
570,1,0.5,1,2,0,9,0.3,7,5,3663,14,0,0,0,3
1993,1,0.5,0,10,1,27,0.3,8,11,2437,9,1,0,0,2
955,0,0.5,1,4,0,43,0.9,5,8,1432,9,1,1,1,1
924,0,0.5,1,0,1,47,0.3,8,6,1620,12,1,0,0,1
600,0,0.5,0,0,0,14,0.8,5,2,1655,9,0,0,0,0
518,0,0.8,1,0,0,3,0.1,7,1,2832,8,1,0,1,2
1063,1,2.5,0,0,1,31,0.9,6,10,961,5,1,1,0,0
920,1,0.5,0,2,0,46,0.8,3,3,2608,2,0,0,1,2
1715,0,1.9,0,4,1,3,0.1,5,6,514,13,1,0,0,0
1841,1,1.3,1,6,0,14,0.6,8,8,2304,18,0,0,1,2
543,1,0.5,1,4,1,60,0.7,5,7,933,5,1,1,0,0
1762,1,2.7,1,13,1,25,0.9,1,14,1896,20,1,1,1,1
1112,1,0.5,1,1,0,53,0.6,4,16,3655,20,1,1,0,3
709,1,2.0,1,0,0,35,0.1,1,0,1973,16,0,1,1,1
1315,1,2.6,0,7,0,64,0.8,7,16,3278,13,0,0,0,2
1762,1,2.5,0,10,1,15,0.3,8,11,2183,11,1,1,0,2
1462,1,1.7,1,1,0,25,0.2,7,18,824,13,1,0,1,0
571,0,1.6,1,8,0,35,0.2,7,20,2598,8,1,1,0,1
666,1,0.5,1,7,1,54,0.4,3,13,1254,9,1,1,1,0
1994,0,1.5,1,2,1,7,0.5,8,7,3622,20,1,0,1,3
1583,1,2.1,1,11,0,14,0.7,7,16,1704,2,1,0,1,2
1778,0,1.4,1,3,1,45,1.0,4,17,1624,9,1,1,0,1
1926,1,1.1,0,13,1,50,0.2,6,17,3809,17,1,1,0,3
966,1,0.6,0,9,1,50,0.2,4,10,2574,5,1,0,1,2
568,0,2.0,0,1,0,36,0.3,3,4,950,9,1,0,0,0
1897,0,3.0,0,1,1,21,0.5,8,2,273,3,1,1,1,0
